animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A740698,2017-11-21,2016-03-21,Intact Male,12.0,A740698-3,2017-11-10,14925 Swiss Dr in Austin (TX),Public Assist,Normal,Dog,Intact Male,12.0,Pit Bull Mix,Brown/White,11,0,1
A740703,2016-12-27,2015-12-21,Neutered Male,12.0,A740703-1,2016-12-21,18706 Blake Manor Rd in Travis (TX),Stray,Normal,Dog,Intact Male,12.0,Pug Mix,Tan/Black,6,1,1
A740703,2017-02-10,2015-12-21,Neutered Male,12.0,A740703-2,2017-02-06,Austin (TX),Stray,Normal,Dog,Neutered Male,12.0,Pug Mix,Tan/Black,4,0,1
A740721,2017-05-06,2016-06-25,Neutered Male,10.0,A740721-1,2017-04-25,Tay Terrace And Brougham Way in Austin (TX),Stray,Normal,Dog,Intact Male,9.0,Labrador Retriever Mix,Brown,11,1,1
A740721,2017-05-11,2016-06-25,Neutered Male,10.0,A740721-2,2017-05-07,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10.0,Labrador Retriever Mix,Brown,4,0,1
A740759,2017-01-02,2011-12-22,Spayed Female,60.0,A740759-1,2016-12-22,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,60.0,Catahoula Mix,Blue Merle/White,11,0,1
A740759,2017-07-08,2011-12-22,Spayed Female,60.0,A740759-2,2017-03-19,Manor Road And Chicon in Austin (TX),Stray,Normal,Dog,Spayed Female,60.0,Catahoula Mix,Blue Merle/White,111,0,1
A740771,2016-12-24,2015-12-22,Neutered Male,12.0,A740771-1,2016-12-22,12120 Shropshire in Austin (TX),Stray,Normal,Dog,Neutered Male,12.0,Labrador Retriever Mix,Yellow,2,0,1
A740777,2017-01-27,2014-12-22,Spayed Female,24.0,A740777-1,2016-12-22,Jacobson Rd in Del Valle (TX),Stray,Normal,Dog,Intact Female,24.0,Pit Bull Mix,Tan/White,36,1,1
A740777,2017-01-29,2014-12-22,Spayed Female,24.0,A740777-2,2017-01-29,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,24.0,Pit Bull Mix,Tan/White,0,0,1
A740781,2017-01-15,2014-12-22,Neutered Male,24.0,A740781-1,2016-12-22,16301 Cameron  Rd in Pflugerville (TX),Stray,Normal,Dog,Intact Male,24.0,Miniature Poodle Mix,Black,24,1,1
A740784,2017-01-03,2015-12-22,Neutered Male,12.0,A740784-1,2016-12-22,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,12.0,Dalmatian/Labrador Retriever,White,12,0,1
